env,algo,schedule,eval_mode,is_reward_stressor,episodes,reward_mean,reward_std,cvar_shock_05,cvar_shock_25,identity_mean,identity_std,id_drop_pre_to_shock,integrity_drop_pre_to_shock,meaning_drop_pre_to_shock,competence_pre,competence_shock,competence_drop,coherence_pre,coherence_shock,coherence_drop,continuity_pre,continuity_shock,continuity_drop,integrity_pre,integrity_shock,integrity_drop,meaning_pre,meaning_shock,meaning_drop,mad_competence,mad_coherence,mad_continuity,mad_integrity,mad_meaning,collapse_score_shock_mean,collapse_event_shock,collapse_event_threshold,collapse_rate_mean,collapse_rate_pre,collapse_rate_shock,collapse_rate_post,fpr_actual,fpr_target,obs_normalize,suite,algo_family,reward_norm,leaderboard_score
ALE/Pong-v5,a2c,observation_noise,stochastic,0.0,120.0,-19.729999999999997,1.8044235794401537,-21.0,-21.0,0.6610246150891931,0.09959021988555075,0.10169881444915929,0.021916179833881628,0.3187475310419971,0.5259740260863649,0.5056680116536831,0.02030601443268178,0.21634061105664487,0.21832052478409353,-0.0019799137274486697,0.9323546866599951,0.9298650896299652,0.0024895970300300727,0.9532947290876338,0.9313785492537521,0.021916179833881628,1.0,0.6812524689580028,0.3187475310419971,0.0056064215108758,0.00866869268567725,0.0184419262902492,0.01455779765025498,0.0,0.9707341008949865,0.7,0.9459912046287704,0.2875,0.10750000000000001,0.45999999999999996,0.29500000000000004,0.10750000000000001,0.05,1.0,Atari,On-Policy,0.0849231124985549,0.5383020051738394
ALE/Pong-v5,ppo,observation_noise,stochastic,0.0,120.0,-20.182499999999997,1.376913098498941,-21.0,-21.0,0.6661893443431042,0.07991497380215766,0.01878529567159919,0.09563344219004868,0.010529764107898531,0.5264358287944297,0.5051222554157208,0.021313573378708938,0.2101786014415315,0.22156814965372304,-0.011389548212191531,0.9054817206418683,0.9198359109623354,-0.014354190320466961,0.9317863327015437,0.836152890511495,0.09563344219004868,1.0,0.9894702358921015,0.010529764107898531,0.006346509013704429,0.00929722452555148,0.03997818750553764,0.02675630875879853,0.0,0.7898800269586888,0.5,0.9246616290839735,0.30916666666666665,0.14750000000000002,0.54,0.24,0.14750000000000002,0.05,1.0,Atari,On-Policy,0.05353220025436478,0.512433969426862
ALE/Pong-v5,a2c,resource_constraint,deterministic,0.0,120.0,-20.915,0.1900219285591358,-21.0,-21.0,0.9214079518800482,0.04486683176986882,0.08206957461157378,-0.0012706842079678732,0.3293871387966475,0.5272287525065226,0.5038119362168975,0.023416816289625008,0.9800805900348522,0.9840629599961617,-0.003982369961309471,0.9915964455672006,0.9937058048928817,-0.00210935932568109,0.992621510243709,0.9938921944516771,-0.0012706842079678732,1.0,0.6706128612033524,0.3293871387966475,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.9445998542029065,0.8,0.9938119810745901,0.09833333333333331,0.025,0.225,0.045,0.025,0.05,1.0,Atari,On-Policy,0.002717077118742045,0.7396819351018379
ALE/Pong-v5,ppo,resource_constraint,deterministic,0.0,120.0,-20.798333333333332,0.4716282419266157,-21.0,-21.0,0.731514446616325,0.08899162965298438,0.1238312666585271,-0.00956871235191324,0.33099243640593845,0.5271095968795285,0.5038553003413325,0.02325429653819603,0.7289531328602881,0.7372620178108473,-0.00830888495055933,0.835014879260638,0.8434471482072775,-0.008432268946639603,0.8420629735734672,0.8516316859253804,-0.00956871235191324,1.0,0.6690075635940615,0.33099243640593845,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.7518402767769111,0.2,0.954766947253674,0.20833333333333331,0.1325,0.265,0.22749999999999998,0.1325,0.05,1.0,Atari,On-Policy,0.010810498323505634,0.6244545203875047
ALE/Pong-v5,ppo,resource_constraint,stochastic,0.0,120.0,-20.292499999999997,1.1868360590646465,-21.0,-21.0,0.6433278172483237,0.07908867618193574,0.10426204333044031,-0.003435690067723111,0.3288322720514894,0.526369206783223,0.5048617454409254,0.02150746134229753,0.2075470648957956,0.20663488343427905,0.00091218146151657,0.9050614605656776,0.9114282245355838,-0.00636676396990619,0.9327701031292465,0.9362057931969698,-0.003435690067723111,1.0,0.6711677279485107,0.3288322720514894,0.006346509013704429,0.00929722452555148,0.03997818750553764,0.02675630875879853,0.0,0.6403136132942097,0.3,0.9246616290839735,0.24333333333333332,0.145,0.35,0.23499999999999996,0.145,0.05,1.0,Atari,On-Policy,0.04590126026130204,0.5557154885257735
ALE/Pong-v5,a2c,resource_constraint,stochastic,0.0,120.0,-19.786666666666665,1.8207738978722348,-21.0,-21.0,0.6626625158224999,0.07717706081866228,0.1008576833201639,0.0017749213988586,0.33054455503139674,0.5259729009356418,0.5061006372880776,0.01987226364756409,0.21642042485052557,0.2158323384449401,0.0005880864055854501,0.9298221430865311,0.9306402492978659,-0.0008181062113347199,0.9513711191042574,0.9495961977053989,0.0017749213988586,1.0,0.6694554449686032,0.33054455503139674,0.0056064215108758,0.00866869268567725,0.0184419262902492,0.01455779765025498,0.0,0.910522790458961,0.6,0.9459912046287704,0.345,0.1275,0.6075,0.3,0.1275,0.05,1.0,Atari,On-Policy,0.0809920221990982,0.4943631870322397
ALE/Pong-v5,ppo,reward_noise,deterministic,1.0,120.0,-20.502339905446185,8.053417011478082,-46.28642912630771,-37.72831488054189,0.7317782977242906,0.09329007655523751,0.1432798013785404,0.19772585050054134,0.32834324399105974,0.5271267224957364,0.5339135124133114,-0.00678678991757493,0.7326765999393927,0.7313635014317708,0.0013130985076219496,0.8496702577885256,0.8357487980974103,0.013921459691115209,0.8522254811675392,0.6544996306669979,0.19772585050054134,1.0,0.6716567560089401,0.32834324399105974,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.9573664397218851,0.6,0.954766947253674,0.33333333333333337,0.1975,0.5549999999999999,0.2475,0.1975,0.05,1.0,Atari,On-Policy,0.03134420820121269,0.5406796949785417
ALE/Pong-v5,a2c,reward_noise,deterministic,1.0,120.0,-20.63664576218299,8.03921016298601,-46.09820872588824,-37.348132407553,0.8959032000195343,0.07776235275807977,0.15471960466339096,0.2969329045448566,0.3282981252876412,0.5272781248033322,0.5340060301661662,-0.00672790536283395,0.9797893329813409,0.9801510290564031,-0.0003616960750620955,0.9921947460845454,0.9583175750230966,0.03387717106144865,0.9926423441495705,0.695709439604714,0.2969329045448566,1.0,0.6717018747123589,0.3282981252876412,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.9999577395248698,0.9,0.9938119810745901,0.32916666666666666,0.034999999999999996,0.9,0.052500000000000005,0.034999999999999996,0.05,1.0,Atari,On-Policy,0.02202711789689043,0.5260508276952776
ALE/Pong-v5,a2c,reward_noise,stochastic,1.0,120.0,-19.497664690741267,8.61126862768657,-48.95535555320892,-37.34703615812194,0.6455177782982993,0.08797059448629052,0.13675995441516317,0.26432735042163025,0.32835155652813564,0.5259066149802522,0.5354615548611447,-0.009554939880892479,0.21712264717433144,0.2151749165987892,0.0019477305755422202,0.9305423176082627,0.921281746095789,0.00926057151247371,0.9525556556566077,0.6882283052349775,0.26432735042163025,1.0,0.6716484434718644,0.32835155652813564,0.0056064215108758,0.00866869268567725,0.0184419262902492,0.01455779765025498,0.0,0.9999979648651607,1.0,0.9459912046287704,0.49416666666666664,0.1275,1.0,0.355,0.1275,0.05,1.0,Atari,On-Policy,0.10104071980058263,0.370190886034152
ALE/Pong-v5,ppo,reward_noise,stochastic,1.0,120.0,-19.90529658931333,8.541589833847102,-47.598510453251194,-37.50495926784739,0.6262165689536778,0.090483697699733,0.1351376351330537,0.24398765597760033,0.32838376918071477,0.526499253621245,0.5353422923385123,-0.00884303871726725,0.20846222743874082,0.20531033252896352,0.0031518949097772303,0.9073188742531567,0.9042955546957033,0.00302331955745332,0.931523376224578,0.6875357202469777,0.24398765597760033,1.0,0.6716162308192852,0.32838376918071477,0.006346509013704429,0.00929722452555148,0.03997818750553764,0.02675630875879853,0.0,0.9997762325194298,1.0,0.9246616290839735,0.4691666666666666,0.1575,1.0,0.25,0.1575,0.05,1.0,Atari,On-Policy,0.07276240564365836,0.35533347377107155
